schemaTuple,visited,timesVisited,id
queryexportfile,True,4,1e627166-0dec-5a85-b7fc-4a52113fdf91
queryexportfiles,True,12,724a4656-ef45-5a31-a645-d754a3b60eff
querytaxtypes,False,0,
querycheckout,True,41,64aa2a19-9d25-572a-8f78-81d51551df96
querycheckouts,True,1,1d8f8323-3dfb-51cf-acc5-e07120a15b71
querycheckoutline,True,1,cd2096e1-d867-5c8c-9760-89c61070ae2b
querycheckoutlines,True,1,f744400e-4abf-50ac-b30d-24fc26b8f9e4
queryappsinstallations,True,2,ea26ab83-5b8f-596c-87cc-93cad76488d5
queryapps,True,15,c28c4e53-559f-5332-bf2d-b6207b9b254a
queryapp,True,11,14afdd4f-7ce7-5be9-a797-33185fc0cd36
queryaddressvalidationrules,True,3,9a8b8876-722c-5645-9ac5-2931225e15ad
queryaddress,True,5,a1db8ac4-f08f-5e2a-94b0-95e28014e850
querycustomers,True,56,3eb206d1-73e2-574d-9b27-f8e44be78685
querypermissiongroups,True,10,46a022b1-9535-5191-b3b6-fbe7ab4ebfd9
querypermissiongroup,True,5,2dcbb399-806e-5b53-875f-e8b81ab27d6a
queryme,True,13,d6f254aa-3f13-57f7-ba3d-a9803751676b
querystaffusers,True,31,ce3b0ea1-76e5-57fe-a7eb-ad52289c7598
queryuser,True,37,2b8a0c15-80ed-56c3-a826-7f88622d08ed
query_entities,True,2,24a02142-9398-5727-b994-6b905480e4e4
query_service,False,0,
webhookname,True,8,14afdd4f-7ce7-5be9-a797-33185fc0cd36
webhooktargeturl,False,0,
webhookisactive,True,4,9781e200-b06e-5a2c-983f-70c2a5558140
webhooksecretkey,False,0,
webhookid,True,4,9781e200-b06e-5a2c-983f-70c2a5558140
webhookevents,True,4,9781e200-b06e-5a2c-983f-70c2a5558140
webhookapp,False,0,
nodeid,False,0,
webhookeventeventtype,True,5,9781e200-b06e-5a2c-983f-70c2a5558140
webhookeventname,True,1,269c20ec-01d1-5cea-bccf-d139f87b8f6a
serviceaccountid,False,0,
serviceaccountname,False,0,
serviceaccountcreated,False,0,
serviceaccountisactive,False,0,
serviceaccountpermissions,False,0,
serviceaccounttokens,False,0,
