schemaTuple,visited,timesVisited,id
querywebhook,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
querywebhookevents,False,0,
querywebhooksamplepayload,False,0,
querywarehouse,True,4,b745eb61-8ebb-5dfe-86cd-c5df52821d23
querywarehouses,True,6,8066442d-d5c3-54fe-bea1-3caaab6410ec
querytranslations,False,0,
querytranslation,False,0,
querystock,False,0,
querystocks,False,0,
queryshop,True,9,3294a9bc-8752-515f-aff2-daac7c736598
queryshippingzone,False,0,
queryshippingzones,True,1,8e3d7973-6525-520c-9788-e69dca22add3
querydigitalcontent,False,0,
querydigitalcontents,False,0,
queryattributes,True,53,abbb5a1a-9bf6-515c-b736-94054e370f68
queryattribute,True,2,6deda921-8aaf-5217-8b24-91582467814a
querycategories,True,27,e4e7084e-b994-55e8-a8e5-77366e8926bf
querycategory,True,43,abbb5a1a-9bf6-515c-b736-94054e370f68
querycollection,True,11,34227c34-2c4b-5544-a912-b29c79852e46
querycollections,True,8,c80c2b78-658f-5fba-8558-cff8ddd82c3d
queryproduct,True,16,aab5d543-5d43-5852-9dc6-de6993ce09c3
queryproducts,True,71,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
queryproducttype,True,6,f04538ab-2373-5e10-9504-8de3d3632e73
queryproducttypes,True,5,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
queryproductvariant,True,1,0e993b0d-8154-5867-a1ad-f841abd6d178
queryproductvariants,True,8,fde2fd5f-b03b-53c5-8d01-0ef066c70882
queryreportproductsales,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
querypayment,False,0,
querypayments,False,0,
querypage,True,3,1789c80c-e3ac-57d3-8e3e-0dc894bba1a5
querypages,True,9,cd2250b5-f0c6-5ee0-9496-49c4dfe02e45
queryhomepageevents,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
queryorder,True,13,38c4706b-23db-5922-9852-b0856018ec3b
queryorders,True,10,74f9ea04-b54c-5305-ad88-1420c0e9f2c1
