,schemaTuple,visitedTest,timesVisitedTest,visitedProd,timesVisitedProd,id
30,querypages,True,16,True,9,cd2250b5-f0c6-5ee0-9496-49c4dfe02e45
31,queryhomepageevents,True,2,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
32,queryorder,True,26,True,13,38c4706b-23db-5922-9852-b0856018ec3b
33,queryorders,True,98,True,10,74f9ea04-b54c-5305-ad88-1420c0e9f2c1
34,querydraftorders,True,46,True,1,021b168f-c1e0-5dae-96fa-8f48c76d685b
35,queryorderstotal,True,2,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
36,queryorderbytoken,True,31,True,4,7cb4bf3d-e621-5c8b-bf51-51d512a56a7d
37,querymenu,True,8,True,2,e4878bc5-cf6f-5290-8403-b17f788b3985
38,querymenus,True,12,True,2,6bd882d1-c94c-5d1b-9c4a-4e8f02a79b47
39,querymenuitem,True,4,False,0,
40,querymenuitems,True,8,False,0,
41,querygiftcard,True,6,False,0,
42,querygiftcards,True,1,False,0,
43,queryplugin,True,2,True,5,318fabe5-01ec-5c56-bba9-429ea0b11e42
44,queryplugins,True,10,True,6,71ef9598-fc8c-54a0-8777-9c87409deeb7
45,querysale,True,1,False,0,
46,querysales,True,35,True,4,9e47fdf0-8381-54c5-ad61-17dcef1a425d
47,queryvoucher,True,2,False,0,
48,queryvouchers,True,45,True,4,36592a3b-783b-53b9-a5fc-788df4c17841
49,queryexportfile,True,4,True,1,f8c6cf23-86b1-528c-a104-347ee9d60d72
50,queryexportfiles,True,12,False,0,
51,querytaxtypes,False,0,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
52,querycheckout,True,41,False,0,
53,querycheckouts,True,1,False,0,
54,querycheckoutline,True,1,False,0,
55,querycheckoutlines,True,1,False,0,
56,queryappsinstallations,True,2,True,1,903717b2-9f4f-507d-a042-550a6f28c226
57,queryapps,True,15,True,2,9ee172d0-207c-546e-a8de-772d127eee76
58,queryapp,True,11,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
59,queryaddressvalidationrules,True,3,False,0,
60,queryaddress,True,5,False,0,
61,querycustomers,True,56,True,28,e56b5d25-c288-56c1-b957-e3ad1a162c87
62,querypermissiongroups,True,10,True,3,2fdb73f4-d771-5e1c-b202-64d981b4f963
63,querypermissiongroup,True,5,True,9,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
64,queryme,True,13,True,4,d6f254aa-3f13-57f7-ba3d-a9803751676b
65,querystaffusers,True,31,True,2,ce3b0ea1-76e5-57fe-a7eb-ad52289c7598
66,queryuser,True,37,True,20,e4cc9dea-eb43-53ae-a758-052f7f1cad97
67,query_entities,True,2,False,0,
68,query_service,False,0,False,0,
69,webhookname,True,8,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
70,webhooktargeturl,False,0,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
71,webhookisactive,True,7,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
72,webhooksecretkey,False,0,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
73,webhookid,True,12,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
74,webhookevents,True,7,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
75,webhookapp,False,0,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
76,nodeid,False,0,False,0,
77,webhookeventeventtype,True,8,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
78,webhookeventname,True,1,False,0,
79,serviceaccountid,False,0,False,0,
80,serviceaccountname,False,0,False,0,
81,serviceaccountcreated,False,0,False,0,
82,serviceaccountisactive,False,0,False,0,
83,serviceaccountpermissions,False,0,False,0,
84,serviceaccounttokens,False,0,False,0,
85,serviceaccountprivatemetadata,False,0,False,0,
86,serviceaccountmetadata,False,0,False,0,
87,objectwithmetadataprivatemetadata,True,51,True,9,1146ff2a-92ed-5954-b529-eba1c7e85852
88,objectwithmetadatametadata,True,50,True,9,1146ff2a-92ed-5954-b529-eba1c7e85852
89,metadataitemkey,True,220,True,11,1146ff2a-92ed-5954-b529-eba1c7e85852
90,metadataitemvalue,True,220,True,11,1146ff2a-92ed-5954-b529-eba1c7e85852
91,metastorenamespace,False,0,False,0,
92,metastoreclients,False,0,False,0,
93,metaclientstorename,False,0,False,0,
94,metaclientstoremetadata,False,0,False,0,
95,metaitemkey,False,0,False,0,
96,metaitemvalue,False,0,False,0,
97,permissioncode,True,91,True,11,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
98,permissionname,True,71,True,11,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
99,serviceaccounttokenname,False,0,False,0,
100,serviceaccounttokenauthtoken,False,0,False,0,
101,serviceaccounttokenid,False,0,False,0,
102,appid,True,33,True,6,60266ab2-c801-5b24-8323-04c77978eaaf
103,appname,True,59,True,6,60266ab2-c801-5b24-8323-04c77978eaaf
104,appcreated,True,3,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
105,appisactive,True,29,True,3,9ee172d0-207c-546e-a8de-772d127eee76
106,apppermissions,True,18,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
107,apptokens,True,18,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
108,appprivatemetadata,True,4,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
109,appmetadata,True,4,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
110,apptype,True,8,True,3,9ee172d0-207c-546e-a8de-772d127eee76
111,appwebhooks,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
112,appaboutapp,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
113,appdataprivacy,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
114,appdataprivacyurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
115,apphomepageurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
116,appsupporturl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
117,appconfigurationurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
118,appappurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
119,appversion,False,0,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
120,appaccesstoken,True,3,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
121,apptokenname,True,9,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
122,apptokenauthtoken,True,27,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
123,apptokenid,True,5,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
124,webhookcountableconnectionpageinfo,False,0,False,0,
125,webhookcountableconnectionedges,False,0,False,0,
126,webhookcountableconnectiontotalcount,False,0,False,0,
127,pageinfohasnextpage,True,267,True,190,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
128,pageinfohaspreviouspage,True,265,True,188,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
129,pageinfostartcursor,True,265,True,188,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
130,pageinfoendcursor,True,266,True,190,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
131,webhookcountableedgenode,False,0,False,0,
132,webhookcountableedgecursor,False,0,False,0,
133,warehouseid,True,25,True,32,2367594c-e4f7-5fb3-9d1d-780a31269703
134,warehousename,True,55,True,12,2367594c-e4f7-5fb3-9d1d-780a31269703
135,warehouseslug,True,63,False,0,
136,warehousecompanyname,True,32,False,0,
137,warehouseshippingzones,True,5,True,8,8066442d-d5c3-54fe-bea1-3caaab6410ec
138,warehouseaddress,True,26,True,4,b745eb61-8ebb-5dfe-86cd-c5df52821d23
139,warehouseemail,True,11,False,0,
140,shippingzonecountableconnectionpageinfo,False,0,True,1,8e3d7973-6525-520c-9788-e69dca22add3
141,shippingzonecountableconnectionedges,True,6,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
142,shippingzonecountableconnectiontotalcount,True,1,False,0,
143,shippingzonecountableedgenode,True,6,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
144,shippingzonecountableedgecursor,False,0,False,0,
145,shippingzoneid,True,15,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
146,shippingzonename,True,22,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
147,shippingzonedefault,True,5,False,0,
148,shippingzonepricerange,True,2,False,0,
149,shippingzonecountries,True,10,True,1,8e3d7973-6525-520c-9788-e69dca22add3
150,shippingzoneshippingmethods,True,4,False,0,
151,shippingzonewarehouses,True,14,False,0,
152,moneyrangestart,True,3,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
153,moneyrangestop,True,3,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
154,moneycurrency,True,248,True,197,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
155,moneyamount,True,468,True,197,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
156,countrydisplaycode,True,73,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
157,countrydisplaycountry,True,55,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
158,countrydisplayvat,True,2,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
159,vatcountrycode,False,0,False,0,
160,vatstandardrate,True,2,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
161,vatreducedrates,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
162,reducedraterate,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
163,reducedrateratetype,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
164,shippingmethodid,True,28,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
165,shippingmethodname,True,38,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
166,shippingmethodprice,True,37,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
167,shippingmethodminimumorderprice,True,9,False,0,
168,shippingmethodmaximumorderprice,True,7,False,0,
169,shippingmethodminimumorderweight,True,7,False,0,
170,shippingmethodmaximumorderweight,True,7,False,0,
171,shippingmethodtype,True,10,False,0,
172,shippingmethodtranslation,True,4,False,0,
173,weightunit,True,50,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
174,weightvalue,True,50,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
175,shippingmethodtranslationid,False,0,False,0,
176,shippingmethodtranslationname,True,6,False,0,
177,shippingmethodtranslationlanguage,True,4,False,0,
178,languagedisplaycode,True,52,True,8,9e47fdf0-8381-54c5-ad61-17dcef1a425d
179,languagedisplaylanguage,True,12,True,21,19bf81c6-5af8-5654-823f-cc9970b2ab14
180,addressid,True,91,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
181,addressfirstname,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
182,addresslastname,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
183,addresscompanyname,True,48,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
184,addressstreetaddress1,True,85,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
185,addressstreetaddress2,True,84,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
186,addresscity,True,73,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
187,addresscityarea,True,19,True,24,021b168f-c1e0-5dae-96fa-8f48c76d685b
188,addresspostalcode,True,59,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
189,addresscountry,True,55,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
190,addresscountryarea,True,48,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
191,addressphone,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
192,addressisdefaultshippingaddress,True,44,True,6,d6f254aa-3f13-57f7-ba3d-a9803751676b
193,addressisdefaultbillingaddress,True,44,True,6,d6f254aa-3f13-57f7-ba3d-a9803751676b
194,warehousecountableconnectionpageinfo,True,5,True,5,8066442d-d5c3-54fe-bea1-3caaab6410ec
195,warehousecountableconnectionedges,True,12,True,6,8066442d-d5c3-54fe-bea1-3caaab6410ec
196,warehousecountableconnectiontotalcount,True,7,False,0,
197,warehousecountableedgenode,True,12,True,6,8066442d-d5c3-54fe-bea1-3caaab6410ec
198,warehousecountableedgecursor,False,0,False,0,
199,translatableitemconnectionpageinfo,False,0,False,0,
200,translatableitemconnectionedges,True,12,False,0,
201,translatableitemconnectiontotalcount,False,0,False,0,
202,translatableitemedgenode,True,12,False,0,
203,translatableitemedgecursor,False,0,False,0,
204,producttranslatablecontentid,True,3,False,0,
205,producttranslatablecontentseotitle,False,0,False,0,
206,producttranslatablecontentseodescription,False,0,False,0,
207,producttranslatablecontentname,True,4,False,0,
208,producttranslatablecontentdescription,False,0,False,0,
209,producttranslatablecontentdescriptionjson,False,0,False,0,
210,producttranslatablecontenttranslation,True,4,False,0,
211,producttranslatablecontentproduct,True,3,False,0,
212,producttranslationid,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
213,producttranslationseotitle,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
214,producttranslationseodescription,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
215,producttranslationname,True,16,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
216,producttranslationdescription,False,0,False,0,
217,producttranslationdescriptionjson,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
218,producttranslationlanguage,True,12,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
219,productid,True,203,True,113,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
220,productseotitle,True,19,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
221,productseodescription,True,19,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
222,productname,True,206,True,112,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
223,productdescription,True,2,False,0,
224,productdescriptionjson,True,26,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
225,productpublicationdate,True,10,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
226,productproducttype,True,57,True,23,fde2fd5f-b03b-53c5-8d01-0ef066c70882
227,productslug,True,39,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
228,productcategory,True,52,True,76,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
229,productupdatedat,True,10,False,0,
230,productchargetaxes,True,8,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
231,productweight,True,26,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
232,productavailableforpurchase,True,27,True,15,aab5d543-5d43-5852-9dc6-de6993ce09c3
233,productvisibleinlistings,True,18,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
234,productdefaultvariant,True,3,True,3,2367594c-e4f7-5fb3-9d1d-780a31269703
235,productprivatemetadata,True,4,False,0,
236,productmetadata,True,4,False,0,
237,productthumbnail,True,170,True,186,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
238,productpricing,True,55,True,73,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
239,productisavailable,True,21,True,22,1146ff2a-92ed-5954-b529-eba1c7e85852
240,productminimalvariantprice,True,1,False,0,
241,producttaxtype,True,8,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
242,productattributes,True,43,True,19,aab5d543-5d43-5852-9dc6-de6993ce09c3
243,productpurchasecost,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
244,productmargin,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
245,productimagebyid,True,1,False,0,
246,productvariants,True,25,True,18,aab5d543-5d43-5852-9dc6-de6993ce09c3
247,productimages,True,12,True,16,aab5d543-5d43-5852-9dc6-de6993ce09c3
248,productcollections,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
249,producttranslation,True,12,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
250,productisavailableforpurchase,True,27,True,15,aab5d543-5d43-5852-9dc6-de6993ce09c3
251,productispublished,True,30,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
252,producttypeid,True,73,True,34,fde2fd5f-b03b-53c5-8d01-0ef066c70882
253,producttypename,True,81,True,13,1146ff2a-92ed-5954-b529-eba1c7e85852
254,producttypeslug,True,18,False,0,
255,producttypehasvariants,True,14,True,6,2367594c-e4f7-5fb3-9d1d-780a31269703
256,producttypeisshippingrequired,True,36,True,14,fde2fd5f-b03b-53c5-8d01-0ef066c70882
257,producttypeisdigital,False,0,False,0,
258,producttypeweight,True,1,False,0,
259,producttypeprivatemetadata,True,4,False,0,
260,producttypemetadata,True,4,False,0,
261,producttypeproducts,True,2,False,0,
262,producttypetaxrate,True,8,False,0,
263,producttypetaxtype,True,1,True,3,2367594c-e4f7-5fb3-9d1d-780a31269703
264,producttypevariantattributes,True,24,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
265,producttypeproductattributes,True,24,True,3,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
266,producttypeavailableattributes,True,2,True,6,f04538ab-2373-5e10-9504-8de3d3632e73
267,productcountableconnectionpageinfo,True,60,True,74,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
268,productcountableconnectionedges,True,149,True,93,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
269,productcountableconnectiontotalcount,True,64,True,58,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
270,productcountableedgenode,True,149,True,93,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
271,productcountableedgecursor,True,1,True,4,1146ff2a-92ed-5954-b529-eba1c7e85852
272,taxtypedescription,True,9,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
273,taxtypetaxcode,True,9,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
274,attributeid,True,140,True,113,abbb5a1a-9bf6-515c-b736-94054e370f68
275,attributeproducttypes,True,10,False,0,
276,attributeproductvarianttypes,False,0,False,0,
277,attributeprivatemetadata,True,4,False,0,
278,attributemetadata,True,4,False,0,
279,attributeinputtype,False,0,True,5,2367594c-e4f7-5fb3-9d1d-780a31269703
280,attributename,True,157,True,110,abbb5a1a-9bf6-515c-b736-94054e370f68
281,attributeslug,True,118,True,67,abbb5a1a-9bf6-515c-b736-94054e370f68
282,attributevalues,True,61,True,51,abbb5a1a-9bf6-515c-b736-94054e370f68
283,attributevaluerequired,True,1,True,6,2367594c-e4f7-5fb3-9d1d-780a31269703
284,attributevisibleinstorefront,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
285,attributefilterableinstorefront,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
286,attributefilterableindashboard,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
287,attributeavailableingrid,True,1,True,2,6deda921-8aaf-5217-8b24-91582467814a
288,attributetranslation,True,4,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
289,attributestorefrontsearchposition,True,1,True,2,6deda921-8aaf-5217-8b24-91582467814a
290,producttypecountableconnectionpageinfo,True,12,True,4,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
291,producttypecountableconnectionedges,True,39,True,5,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
292,producttypecountableconnectiontotalcount,True,1,False,0,
293,producttypecountableedgenode,True,39,True,5,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
294,producttypecountableedgecursor,False,0,False,0,
295,attributevalueid,True,87,True,109,abbb5a1a-9bf6-515c-b736-94054e370f68
296,attributevaluename,True,174,True,136,abbb5a1a-9bf6-515c-b736-94054e370f68
297,attributevalueslug,True,62,True,52,abbb5a1a-9bf6-515c-b736-94054e370f68
298,attributevaluetranslation,True,5,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
299,attributevalueinputtype,True,1,False,0,
300,attributevaluetranslationid,True,1,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
301,attributevaluetranslationname,True,6,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
302,attributevaluetranslationlanguage,True,4,False,0,
303,attributetranslationid,True,1,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
304,attributetranslationname,True,5,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
305,attributetranslationlanguage,True,3,False,0,
306,attributecountableconnectionpageinfo,True,15,True,13,c300ed7a-d946-5621-9699-9187f7ce1f94
307,attributecountableconnectionedges,True,77,True,59,abbb5a1a-9bf6-515c-b736-94054e370f68
308,attributecountableconnectiontotalcount,True,4,True,6,c300ed7a-d946-5621-9699-9187f7ce1f94
309,attributecountableedgenode,True,77,True,59,abbb5a1a-9bf6-515c-b736-94054e370f68
310,attributecountableedgecursor,False,0,False,0,
311,categoryseotitle,True,17,True,49,abbb5a1a-9bf6-515c-b736-94054e370f68
312,categoryseodescription,True,17,True,49,abbb5a1a-9bf6-515c-b736-94054e370f68
313,categoryid,True,129,True,191,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
314,categoryname,True,184,True,187,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
315,categorydescription,True,7,False,0,
316,categorydescriptionjson,True,9,True,15,1146ff2a-92ed-5954-b529-eba1c7e85852
317,categoryslug,True,20,True,4,1146ff2a-92ed-5954-b529-eba1c7e85852
318,categoryparent,True,10,True,4,1146ff2a-92ed-5954-b529-eba1c7e85852
319,categorylevel,False,0,False,0,
320,categoryprivatemetadata,True,4,False,0,
321,categorymetadata,True,4,False,0,
322,categoryancestors,True,25,True,34,abbb5a1a-9bf6-515c-b736-94054e370f68
323,categoryproducts,True,31,True,23,1146ff2a-92ed-5954-b529-eba1c7e85852
324,categorychildren,True,20,True,9,1146ff2a-92ed-5954-b529-eba1c7e85852
325,categorybackgroundimage,True,27,True,38,abbb5a1a-9bf6-515c-b736-94054e370f68
326,categorytranslation,True,5,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
327,categorycountableconnectionpageinfo,True,20,True,25,e4e7084e-b994-55e8-a8e5-77366e8926bf
328,categorycountableconnectionedges,True,71,True,65,abbb5a1a-9bf6-515c-b736-94054e370f68
329,categorycountableconnectiontotalcount,True,14,True,5,1146ff2a-92ed-5954-b529-eba1c7e85852
330,categorycountableedgenode,True,71,True,65,abbb5a1a-9bf6-515c-b736-94054e370f68
331,categorycountableedgecursor,False,0,False,0,
332,imageurl,True,218,True,254,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
333,imagealt,True,98,True,90,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
334,categorytranslationseotitle,True,1,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
335,categorytranslationseodescription,True,1,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
336,categorytranslationid,True,1,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
337,categorytranslationname,True,6,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
338,categorytranslationdescription,False,0,False,0,
339,categorytranslationdescriptionjson,True,1,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
340,categorytranslationlanguage,True,5,True,11,19bf81c6-5af8-5654-823f-cc9970b2ab14
341,productvariantid,True,127,True,48,fde2fd5f-b03b-53c5-8d01-0ef066c70882
342,productvariantname,True,80,True,42,fde2fd5f-b03b-53c5-8d01-0ef066c70882
343,productvariantsku,True,100,True,42,fde2fd5f-b03b-53c5-8d01-0ef066c70882
344,productvariantproduct,True,46,True,17,fde2fd5f-b03b-53c5-8d01-0ef066c70882
345,productvarianttrackinventory,True,6,True,12,2367594c-e4f7-5fb3-9d1d-780a31269703
346,productvariantweight,True,9,True,1,0e993b0d-8154-5867-a1ad-f841abd6d178
347,productvariantprivatemetadata,True,4,False,0,
348,productvariantmetadata,True,4,False,0,
349,productvariantprice,True,30,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
350,productvariantpricing,True,52,True,29,fde2fd5f-b03b-53c5-8d01-0ef066c70882
351,productvariantattributes,True,54,True,39,fde2fd5f-b03b-53c5-8d01-0ef066c70882
352,productvariantcostprice,True,14,True,1,0e993b0d-8154-5867-a1ad-f841abd6d178
353,productvariantmargin,True,1,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
354,productvariantquantityordered,True,3,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
355,productvariantrevenue,True,2,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
356,productvariantimages,True,11,True,16,aab5d543-5d43-5852-9dc6-de6993ce09c3
357,productvarianttranslation,True,4,False,0,
358,productvariantdigitalcontent,True,2,False,0,
359,productvariantstocks,True,37,True,12,2367594c-e4f7-5fb3-9d1d-780a31269703
360,productvariantquantityavailable,True,53,True,27,fde2fd5f-b03b-53c5-8d01-0ef066c70882
361,variantpricinginfoonsale,True,48,True,27,fde2fd5f-b03b-53c5-8d01-0ef066c70882
362,variantpricinginfodiscount,True,1,False,0,
363,variantpricinginfodiscountlocalcurrency,True,2,False,0,
364,variantpricinginfoprice,True,50,True,27,fde2fd5f-b03b-53c5-8d01-0ef066c70882
365,variantpricinginfopriceundiscounted,True,52,True,29,fde2fd5f-b03b-53c5-8d01-0ef066c70882
366,variantpricinginfopricelocalcurrency,True,2,False,0,
367,taxedmoneycurrency,True,34,True,8,7cb4bf3d-e621-5c8b-bf51-51d512a56a7d
368,taxedmoneygross,True,229,True,119,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
369,taxedmoneynet,True,82,True,84,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
370,taxedmoneytax,False,0,False,0,
